Title,Link,Description,date,Summary,Email,ContactAddress,Time
"AHMG Cardiothoracic Surgery at Waterman - Surgical Physician Assistant (PA-C)",https://www.indeed.com/rc/clk?jk=4c82aba9fafa5ef2&fccid=11994ad5a40ae7aa&vjs=3,"AdventHealth Medical Group formerly known as Florida Hospital Medical Group is associated with the largest Protestant not-for-profit healthcare system in the world, AdventHealth and a national leader in quality, safety and patient satisfaction. AHMG&rsquo;s advanced practice providers manage the treatment and care for our patients in the practice setting, as well as at AdventHealth&rsquo;s ten campuses in Altamonte Springs, Apopka, Celebration, East Orlando, Heart of Florida, Kissimmee, Lake Wales, Orlando, Winter Park and AdventHealth Waterman in Tavares.\nAdventHealth Medical Group Cardiothoracic Surgery at Waterman\nSurgical Physician Assistant (PA-C)\nFull time inpatient Position with some Outpatient Responsibilities\nGeneral Summary: The ideal candidate would serve as an integral role in the global management of cardiothoracic surgery patients, including all aspects of peri-operative care from performing patient histories and daily rounds to invasive surgical procedures, including endoscopic vein harvest for coronary artery bypass graft procedures.\nThe APP, under the supervision of the Physicians is responsible for:\nPerforms patient histories and physical exams in the office and hospital setting\nHandles daily patient rounds (including the CVICU), patient education and discharge summaries\nPerforms invasive procedures, such as chest tube insertions, placement of central venous, dialysis and Swan-Ganz catheters, arterial lines and removal of intra-aortic balloon pumps\nExhibits autonomy in the operating room when required\nEndoscopic vein harvest, including greater and lesser saphenous veins and\u002For radial arteries, for use as a bypass conduit (proficient in use of Maquet EVH system)\nPerforms first assistant duties on all adult cardiac and thoracic cases\nMeets the specific needs of the attending surgeon, often assisting several surgeons in a single practice\nHas exacting knowledge of each surgeon's idiosyncrasies to expedite the procedure and limit patient morbidity and mortality\nUses knowledge of medical model to promote synergistic relationship between physician and PA\nHas extensive knowledge of ventilator management and artificial cardiac devices\nPerforms duties of a primary care PA\nManages other disease entities frequently encountered in the cardiac population, namely hypertension, diabetes, COPD, asthma, pneumonia and others\nSchedule Details:\nLocation: AdventHealth Waterman\nSchedule is Monday &ndash; Friday from 7:30 AM &ndash; 5:00 PM with some flexibility\nCall rotation 1 in 3 weeknights, and 1 in 3 weekends\n includes hospital rounding and overnight call\nMostly inpatient with some outpatient responsibilities\nKnowledge and Skills Required:\nEnthusiastic team player\nPassion for CT Surgery\nWillingness to learn\nEducation and Experience:\nMaster&rsquo;s degree in Physician Assistant Studies\n1-3 Years of experience in CT Surgery as a surgical first-assist\n1-3 Years of experience in endoscopic vein harvesting (Highly Preferred)\nLicensure, Certification, and Registration:\nCurrent, valid Florida PA-C license\nCurrent BLS and ACLS\nHospital Description\nAdventHealth Waterman (formerly Florida Hospital Waterman) is a 299-bed, full-service community hospital located in the heart of Lake County. Founded in 1938 by Frank Waterman, president of the Waterman Fountain Pen Company, the hospital has grown from an 18-bed facility to a leading provider of acute and home health services in Central Florida. The hospital joined the Adventist Health System in 1992 and moved to its current location in 2003. With more than 1,500 employees and over 300 physicians and advanced practice providers on its medical staff, the hospital treats more than 14,000 inpatients a year and treats over 60,000 patients in its Emergency Department annually.\nCommunity Description\nAdventHealth Waterman is located at 1000 Waterman Way in Tavares, Florida, approximately 35 miles northwest of Orlando. Tavares is located in beautiful Lake County, where residents and visitors enjoy the quiet pleasures of rural living among 1,400 lakes for fishing and water sports, all within 90 minutes of the Orlando International Airport, East Coast beaches, Gulf Coast beaches, and the Orlando area attractions. The average temperature is 70 degrees, with summer highs in the 90's and winter lows in the 50's and 60's.\nHospital Website\nLake County, Florida\nHospital Website\nLake County, Florida",,,,,
"Physician Assistant",https://www.indeed.com/rc/clk?jk=9b04ca1552630cd1&fccid=f82cad2c1f9e5b58&vjs=3,"Physiatric Fitness Consultants are highly respected and much appreciated medical specialists in the Altamonte Springs area. We help patients improve their Quality of Life through a holistic approach incorporating medications, injections, and specific orders for therapy. We treat patients in multiple settings including Acute hospitals, Skilled Nursing Facilities, and Inpatient Rehab Hospitals.Benefits: MedicalDental401KPaid time offContinuing medical educationRequirements: PA certification in FloridaAbility to work in Altamonte SpringsTasks: · Administer or order diagnostic tests, such as x-ray, MRI, and laboratory tests.· Instruct and counsel patients about prescribed therapeutic regimens, problems with activities of daily living, and health maintenance.· Visit and observe patients on skilled nursing facility and hospital rounds, updating charts, ordering therapy, and reporting back to physician.· Perform therapeutic procedures, such as trigger point and intra articular injections·Job Type: Full-timeSalary: $80,000.00 to $100,000.00 \u002FyearEducation:Master's (Required)Location:Altamonte Springs, FL (Required)Work authorization:United States (Required)Additional Compensation:CommissionBonusesWork Location:Multiple locationsBenefits:Health insuranceDental insuranceVision insuranceRetirement planFlexible scheduleProfessional development assistanceEMR Used:CernerPowerChartRelocation Assistance Provided:NoThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedOutcome-oriented -- results-focused with strong performance cultureTeam-oriented -- cooperative and collaborativeSchedule:Monday to FridayWeekends",,,,,
"Flagler Health+ Orthopedic Specialists- Physician Assistant",https://www.indeed.com/rc/clk?jk=fdae8e2bcaacc9ab&fccid=3780c65642edf493&vjs=3,"Job Description Details\n\n\n\nJob Title:\nPhysician Assistant- Orthopedics\n\n\n\n\n\n\n\n\nEducation \u002F Training\n\nDegree\u002FDiploma Obtained\nProgram of Study\n\n\nRelevant education for the position\n\n_________________________________________________________________________________\nPreferences\nSkills and Abilities: Capacity for close attention to detail; ability to prioritize and carry out multiple responsibilities simultaneously; excellent customer service skills required. Word processing and Excel experience preferred. Computer skills.\nExperience Requirements\n\nMin Experience\nType of Experience\n\n\n\n_________________________________________________________________________________\nPreferences\nLicensing Requirements\n\nCertificates\u002FLicenses\u002FRegistration\n\n\n\nRelevant certification\u002Flicense for position\n_________________________________________________________________________________\nPreferences\n\nCore Competencies\n\n\n\n\nSafety\nMakes sure to understand every safety practice expected by the organization. Takes no shortcuts that increase the risks of accidents, personal injuries or equipment failures. Looks for unsafe practices in the workplace and takes responsibility to ensure that others are aware of the potential impact. This is distinctly different from those who are unaware of many safety expectations, take shortcuts that increase safety risks, and\u002For fail to recognize and take timely action to increase safe practices by others.\n\n\nQuality of Work\nHas established a track record of producing work that is highly accurate, demonstrates attention to detail and reflects well on the organization. Is personally committed to high quality work and encourages others to have similar standards. This differs from those who cannot be relied upon to produce high quality work, pay little attention to detail, show little pride in a job well done and\u002For set a poor example for co-workers or direct reports.\n\n\nTeamwork\nIs an effective team player who adds complementary skills and contributes valuable ideas, opinions and feedback. Communicates in an open and candid manner and can be counted upon to fulfill any commitments made to others on the team. This is distinctly different from those who withhold ideas and opinions, offer ideas or opinions that rarely add value to team discussions, have established a track record with many unmet commitments, and\u002For have not contributed skills that complement the skills of others on the team.\n\n\nContinuous Improvement\nFinds it unacceptable when patient and customer outcomes could be improved. Takes personal responsibility for maintaining and upgrading own knowledge, skills and abilities to ensure that service delivery is safe, efficient and effective. Strives to stay abreast of new approaches to healthcare. Demonstrates full commitment to quality improvement initiatives by taking an active role, being a positive model and by encouraging others to be equally committed and accountable. Is proactive in calling attention to service delivery deficiencies or opportunities and offers concrete suggestions for improving processes and systems that affect quality of care and productivity.\n\n\nEducation and Self Development\nMakes it a practice to take charge of self-development by soliciting feedback, setting priorities, and then acquiring or strengthening skills and knowledge through coursework or other methods. This is in distinct contrast to those who avoid, discount or ignore feedback, fail to identify self-improvement needs or resist learning opportunities as unnecessary or untimely.\n\n\n\n\n\nCommitment to Accountabilities\n\n\n\nAt Flagler Hospital, certain values shape and influence all of our decisions and actions. These accountabilities are demonstrated through adherence to our core competencies and represented each day in our commitment to patients and their families, visitors, and our team members.\n\n\n\n\nEmployee Statement of Understanding\n\n\n\nThe above statements reflect the responsibilities considered essential to the job as identified and shall not be considered a detailed description of all the work requirements inherent to the job. I agree to perform other job duties as assigned.\n\n\nI have read and understand the job description for my position. I am able to perform all of the essential functions of this position.\n\n\nAs an employee, I will strive to uphold the mission and vision of the Flagler Hospital. All employees are required to adhere to the values in all their interactions with patients, customers, and fellow employees.",,,,,
"Acute Care Nurse Practitioner or Acute Care Physician Assistant",https://www.indeed.com/rc/clk?jk=0be9dcc3b94a63f1&fccid=1f0b71ba769c1df1&vjs=3,"Critical Care\u002FIntensivist group is seeking an experienced Acute Care Nurse Practitioner or Critical Physician Assistant proficient in procedures: Art Lines, Central Lines, Intubation and Chest Tubes, no exception: 7 on\u002F7 off schedule working nightsPhysician coverage on nights as wellCover 10 bed unitSalary is based on experienceFull benefits package includes: Health, Dental, Vision, Life, Disability and moreRetirement plan with matchCME bonusCME Time off paidVacation Time off paidPaid malpractice insuranceThis position offers a great work\u002Flife balance with 7 days off and only covering 10 beds. Great group of physicians and practitioners. Lots to do in the area and close to everything!!Job Type: Full-timeSalary: $120,000.00 to $135,000.00 \u002FyearExperience:Acute Care\u002FCritical Care NP or PA: 1 year (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planSigning bonusPaid time offRelocation assistanceProfessional development assistancePatient Type:AdultsGeriatricShift Length:12 hoursRelocation Assistance Provided:Yes",,,,,
"PHYSICIAN ASST CERT",https://www.indeed.com/rc/clk?jk=2b41959c86f2c775&fccid=5c06aeefddf51d3b&vjs=3,"ARNP \u002F PA-C &ndash; Inpatient\u002FOutpatient &ndash; Malignant Hematology\nBased in the Malignant Hematology (Mal Heme) Department, this inpatient\u002Foutpatient Nurse Practitioner or Physician Assistant position provides patient care under the auspices of the Moffitt Medical Group (MMG) and serves as member of the academic medical enterprise; advancing the institutional mission of contributing to the prevention and cure of cancer.\nPosition Highlights:\nAssists physicians with the evaluation, management and treatment of a wide spectrum of patients with different medical problems, procedures and co-morbidities.\nWorks within a defined scope of practice and under the authority of supervising physician(s) or by specific protocol(s).\n\nThe Ideal Candidate:\nClinical professional who demonstrates a passion for our mission, and who takes pride in delivering world class patient care in a collaborative, learning environment.\nThe successful candidate will be a superior communicator, an engaged team member, and a knowledgeable, patient focused provider.\nResponsibilities:\nProvides patient care as a member of an interdisciplinary team, working with many specialists to coordinate and optimize patient care.\nCorrelates subjective and objective data to formulate a differential or working diagnosis.\nFormulates treatment plans for medical conditions within scope of practice.\nMay perform minor surgical procedures within scope of practice.\nPrescribes oral and IV medications when appropriate, within the scope of practice.\nDocuments patient care in accordance with medical staff rules.\n\nCredentials and Qualifications:\nBachelor's degree at minimum; master's degree preferred.\nGraduate of an accredited Advanced Registered Nurse or Physician Assistant program.\nActive FL medical license (or the ability to obtain one) and national certification by the appropriate accreditation body.\nActive BLS and ACLS.\nExperience in oncology or general internal medicine; previous specific experience preferred.\n\nLocation: H. Lee Moffitt Cancer Center &amp; Research Institute &middot; Malignant Hem\nSchedule: Full Time, Day Shift, M-F occasional holiday",,,,,
"Physician Assistant PA-C Cardiovascular FT Days",https://www.indeed.com/rc/clk?jk=86e321f08aa5adc8&fccid=11994ad5a40ae7aa&vjs=3,"Description\n\nPhysician Assistant (PA-C) AdventHealth - Celebration\nLocation Address: 400 Celebration Place, Celebration, FL\nTop Reasons to work at AdventHealth - Celebration\nEstablished in 1997 and now a 203-bed hospital\nAdventHealth Celebration Health was designed as a Mediterranean resort-style facility to serve as a cornerstone of health in Disney&rsquo;s planned community of Celebration, Florida\nThe hospital consistently delivers a state-of-the-art healing environment to residents of Osceola, Orange, Polk and Lake Counties, as well as to visitors from across the United States and the world. All within a 'living laboratory' of groundbreaking, research-driven clinical solutions that integrate mind, body and spirit in the defeat of illness and disease\nWork Hours\u002FShift:\nFull Time\nYou Will Be Responsible For:\nAssess patient health status through physical exam reviews patient history, diagnostic tests and procedures and review labs and other critical data.\nDiagnose acute and chronic conditions affecting all organs systems.\nInitiate orders for medications, laboratory, and other diagnostic testing and medical treatments on appropriate forms.\nPrescribe interventions and performs therapeutic measures to ensure the appropriate individualized plan of care is implemented. Apply knowledge of age-specific needs i.e.: pediatric adolescents, adult and geriatric patients related to plan of care interventions and patient responses to care.\nPerform interventions in accordance with the patient&rsquo;s care plan to include, but not limited to pulling chest tubes, pulling pacing wires, insertion of intravenous lines according to scope of practice and draining fluid from lung spaces and tissue as needed and according to credentials.\n\nQualifications\n\nWhat Will You Need:\n\nEDUCATION AND EXPERIENCE REQUIRED:\nGraduate from a Physician Assistant program approved by the Accreditation Review Commission on Education for the Physician Assistant (ARC-PA), the successor program to CAAHEP\nExperience in cardiovascular acute care; examples of this include, but are not limited to: Cardiac Surgery ICU, Cardiac Cath Lab, Cardiac Surgery Operating Room and Heart and Lung Transplant\n\nEDUCATION AND EXPERIENCE PREFERRED:\nMasters in health-related field\nManagement of patients both pre- and post-implantation for Ventricular Assist Devices and Extracorporeal membrane oxygenation (ECMO)\nManagement of patients undergoing Trans catheter Valve procedures\nPublic speaking experience\nTeaching\u002FPreceptor experience\nPublished in peer reviewed journals\nResearch involving Acute Coronary disease states\n\nLICENSURE, CERTIFICATION, OR REGISTRATION REQUIRED:\nCurrent State of Florida State Physician Assistant license\nPhysician Assistants-Certified (PA-C)\nBasic Life Support (BLS) Certification\nAdvanced Cardiac Life Support (ACLS) Certification\n\nJob Summary:\nUnder administrative and physician guidance the Physician Assistant (PA) will provide comprehensive primary care services, acute care services, and extended care services in medicine for individuals and their families. Responsibilities include, but are not limited to, physical exams, diagnose and treat diseases and injuries, order and interpret tests, counsel on preventive health, and write prescriptions. Will have prescriptive authority in the state of Florida under a practice agreement with a supervising physician. Supports the quality of care, coordination of care and throughput of patients who have acute coronary disease, have undergone surgical or interventional procedures in the hospital with primary focus on clinical services. Responsible for coordinating delivery of patient care in collaboration with the Cardiovascular Surgeons and Cardiologists. Actively participates in outstanding customer service and accepts responsibility in maintaining relationships that are equally respectful to all.\nThis facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",,,,,
"Nurse Practitioner/Physician Assistant",https://www.indeed.com/rc/clk?jk=c83461a0be5328d8&fccid=8f40e9ee1ecce773&vjs=3,"Position Summary: Works within the scope of the medical protocols established by CareSpot and within the scope of their state&rsquo;s license, to provide prompt, comprehensive and competent medical care. Works collaboratively with a healthcare team to provide acute health care to patients\n\n\nEssential Responsibilities\n\n\n1.\n\nProvides exemplary customer service to patients, visitors and coworkers; Maintains customer loyalty score at or above company benchmark\n\n\n2.\n\nProvides leadership, direction, and assistance during emergencies while maintaining a comforting and reassuring environment for patients\n\n\n3.\n\nComplies with necessary regulatory standards and licensure requirements mandated by Federal and State Agencies (i.e. HIPAA, OSHA, and CPR certification)\n\n\n4.\n\nPerforms medical assessment of Center patients and appropriately documents all relevant information on designated CareSpot form and\u002For Electronic Health Records\n\n\n5.\n\nEstablishes and monitors a medically appropriate level of care for center patients\n\n\n6.\n\nPerforms examinations for workers&rsquo; comp, occupational medicine, DOT, sports and other physicals, wellness tests and pre-employment screenings\n\n\n7.\n\nOversees, directs and supports on site laboratory, dispensing of on-site where applicable, Rx, x-rays, injections, and collections for direct access services\n\n\n8.\n\nPerforms daily Urgent Care Patient follow-up callbacks to review treatment and check on progress\n\n\n9.\n\nWorks with Center Manager and other staff to ensure operations are consistent with medical policy and professional standards\n\n\n10.\n\nParticipates in and assists with in-service and continuing education programs for physicians, nurses and other personnel employed by or associated with CareSpot\n\n\n11.\n\nAssists in scheduling and providing medical coverage for assigned Center and other Centers, if needed\n\n\n12.\n\nPromotes, supports, and engages in projects and activities which will develop or improve services delivered at the Center\n\n\n13.\n\nAssures compliance with licensing, certification and accrediting bodies\n\n\n14.\n\nPlace IV and initiate intravenous therapy when appropriate\n\n\n15.\n\nPerforms medical assessment, procedures, and determines treatment recommendations of center patients ages 6 months and older\n\n\n16.\n\nAbility to utilize 3-4 exam rooms when working in a single-provider center\n\n\n17.\n\nDirects and reviews all laboratory and radiology results and develops appropriate treatment plan\n\n\n18.\n\nPerforms other duties as assigned\n\n\n19.\n\nActs with honesty and integrity in all business transactions, including, but not limited to, employment applications\u002Fresumes, patient records, time records, and financial transactions\n\n\n\n\nRequired Skills\nMinimum Qualifications:\n\nEducation:\nGraduated from an accredited school of nursing with Advanced Practice Nurse Master&rsquo;s Degree OR\nGraduated from an accredited Professional Physician Assistant Program\nActive Physician Assistant state license or Nurse Practitioner state license\nActive DEA license from state of practice if applicable\nBoard Certified (NP must be FNP certified for six (6) months to adult)\nBLS Certification\nMedical Examiners Certification for DOT physicals (ME certification may be acquired within the first 30 days of employment)\nAdditional Knowledge, Skills and Abilities:\n\nMust be aware of hazardous situations and be able to provide a leadership role in emergencies as needed.\n\nAbility to work weekends and holidays\n\n\nRequired Experience\n\n\nMinimum 1 year applicable experience in acute\u002Furgent care, family practice or emergency department setting\nExperience in pediatrics (ages 6 months and up)\n2 years of experience preferred\nExperience using an Electronic Health Record (EHR) preferred\nMinimum 1 year treating patients autonomously",,,,,
"Physician Assistant Surgery 1st Assist Heart Transplant FT Days",https://www.indeed.com/rc/clk?jk=50b10ad114a090ef&fccid=11994ad5a40ae7aa&vjs=3,"Description\n\nPhysician Assistant Surgical AdventHealth Orlando\nLocation Address: 2415 N. Orange Ave., Orlando, FL 32802\nTop Reasons to work at AdventHealth Orlando\nOn the AH Orlando campus, AdventHealth Transplant Institute&rsquo;s Heart and Lung Transplant Program is seeking an experienced cardiothoracic surgical PA to join our growing &amp; thriving practice. Our service currently consists of 3 surgeons and 2 Surgical Pas working collaboratively with the Cardiology and Critical Care Medical teams. We perform the full spectrum of advanced heart failure surgical therapies as well as core cardiothoracic procedures. The selected candidate will regularly be performing CABG, valve surgery, thoracic aortic work, Ventricular Assist Device, heart and lung transplant, ECMO insertion and management, and total artificial heart implantation. We are a busy practice having performed 16 lung transplants, 58 heart transplants, 68 VAD implants, and 126 ECMO runs in 2018. Our surgeon team consists of Dr. Duane Davis, who was past president of ISHLT; Dr. Scott Silvestry, who currently educates other surgeons on VAD implant techniques for the industry; and Dr. Don Botta, Transplant and VAD Surgical Director. AdventHealth, a 2,247-bed acute-care medical facility, is a member of Adventist Health System. We serve as a community hospital for Greater Orlando and as a major tertiary referral hospital for Central Florida and much of the Southeast, the Caribbean and Latin America. Adventist Health System operates 44 hospitals in ten states making it the largest not-for-profit protestant health care system in the United States. Our annual statistics include:\n Treats more patients than any other hospital in the US\n Serves more patients each year than any hospital in Florida\n Number of inpatients: 122,729\n Number of licensed beds: 2,675\n Number of critical care beds (Includes ICU, CCU, CVICU, PCU, PICU, NICU): 1,329\nWork Hours\u002FShift:\nFull Time\nYou Will Be Responsible For:\nDevelops and evaluates treatment of care plans for patients with acute, chronic, and surgical concerns. Functions within the Outpatient and Inpatient acute care settings.\nParticipates in Clinical and multidisciplinary rounds by contributing specific surgical perspectives. Promotes integrated comprehensive patient care and assists with discharge planning.\nProvides relevant patient education and counseling regarding heath status\u002Ftest results\u002Fdisease process and discharge planning.\nPerforms first and second surgical assist duties within the Operating room and\u002For bedside setting. Assist physicians with Heart and Lung Transplantation; Ventricular Assist Devices; and Cardiothoracic Surgeries.\nCall requirements will be rotational to include a 24-hour\u002F7-day coverage system. Out-Of-House SICU and Floor call responsibilities, Donor call organ assessment &amp; OR call responsibilities.\nUtilizes sensitivity, responsiveness, caring and compassionate attitude with patients, families and visitors by listening and communicating effectively with courtesy, consideration and tact.\n\nQualifications\n\nWhat Will You Need:\n\nEDUCATION AND EXPERIENCE REQUIRED:\nGraduate of a physician assistant program approved by the Accreditation Review Commission on Education for the Physician Assistant (ARC-PA)\nMaster&rsquo;s Degree in PA Studies (unless Graduated prior to 2008)\nMinimum of two (2) years&rsquo; post-graduation clinical experience or one year post-graduate surgical residency training experience\nMinimum of one year of cardiothoracic specialty specific experience\nPre-Operative, Intra-Operative, Post-operative Surgical patient care experience\nCritical care experience\n\nEDUCATION &amp; EXPERIENCE PREFERRED:\nTeaching\u002Fpreceptor experience\nLeadership experience\nLICENSURE, CERTIFICATION, OR REGISTRATION REQUIRED:\n\nState of Florida physician assistance license (Current, Valid &amp; Without restriction)\nNational Commission Certification of Physician Assistant (NCCPA) Certification (Current)\nBasic Life Support (BLS) Certification\nAdvanced Cardiac Life Support (ACLS) Certification\nLICENSURE, CERTIFICATION, OR REGISTRATION PREFERRED:\nCardiothoracic Surgery Certificate of Added Qualification (CTS CAQ)\nCardiac Surgical Unit Advanced Life Support Certification (CSU ALS)\nCertified Clinical Transplant Coordinator (CCTC) by the American Board of Transplant Certification (ABTC)\n\nJob Summary:\nThe Physician Assistant (PA) will have prescriptive authority in the State of Florida under a practice agreement with a supervising physician as defined by Florida Statute 59R-30.001. The PA supports the clinical operation of AdventHealth Transplant Center with primary focus on clinical services in the inpatient and outpatient setting within their scope of practice as regulated by Florida Statute 458 and 459. The PA may provide first or second assistant functions during surgery, round with surgeons and other clinical staff, and see patients in the outpatient setting. Delivery of patient care will be conducted in collaboration with faculty surgeons, residents and physicians including, but not limited to, physical exams, diagnosis and treatment, order and interpret tests, counsel on preventative health, write prescriptions, and assist in surgery.\n\nActively participates in outstanding customer service and accepts responsibility in maintaining relationships that are equally respectful to all. Under administrative guidance and physician supervision, will provide comprehensive primary care services, acute care services, and extended care services in the area of nursing and or medicine for individuals and their families.\nThis facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",,,,,
"Physicianu2019s Assistant- Inpatient Clinical Documentation Integrity/Coding Liaison",https://www.indeed.com/rc/clk?jk=28ac49c2f262a6cf&fccid=11994ad5a40ae7aa&vjs=3,"Description\n\nInpatient Clinical Documentation Integrity\u002FCoding Liaison\nAdventHealth Corporate\nLocation Address: 900 Hope Way Altamonte Springs, Florida 32714\n\nTop Reasons to Work at AdventHealth Corporate\n\nGreat benefits\nImmediate Health Insurance Coverage\nCareer growth and advancement potential\n\nWork Hours\u002FShift:\nFull-Time, Monday &ndash; Friday\nYou Will Be Responsible For:\n\nActs as a liaison between CDI, HIM and other interdisciplinary team at all applicable levels of leadership, and external partners. Communicates appropriately and effectively with all involved parties.\nStrategically educates members of the patient-care team regarding documentation and coding regulations and guidelines, including attending physicians, allied health practitioners, nursing, and care management. This includes quarterly compliance updates from Medicare.\nParticipates in educational strategies and development of training materials for system conversions.\nPresents educational material to target groups and conducts education in necessary forum, i.e. video conference, webinar, and on-site training.\nDemonstrates, through behavior, Integrity, Compassion, Balance, Excellence, Stewardship, and Teamwork.\nRecognizes opportunities for documentation improvement using strong critical-thinking skills. Uses critical thinking and sound judgment in decision making keeping resource consumption considerations in balance with regulatory compliance. Initiates\u002Fformulates CDMP severity worksheets and clinically credible clarifications for inpatients, sending\u002Fpresenting opportunities for accurate documentation and compliance to physicians, nurse practitioners and other medical staff.\nWill travel to AdventHealth facilities, including overnight stay 30% of the time\n\nQualifications\n\nWhat You Will Need:\n\nMinimum 5 years of acute care nursing experience or equivalent clinical experience as MD.\nMinimum 2 years of experience as a Clinical Documentation Specialist.\nMinimum 2 years of HIM inpatient coding experience\nCurrent active State license as a Registered Nurse, Nurse Practitioner, or Physician&rsquo;s Assistant\nUnlicensed physician who has graduated from a medical school that is listed in the World Directory of Medical Schools (World Directory) as meeting eligibility requirements for its graduates to apply to the Educational Commission for Foreign Medical Graduates (ECFMG) for ECFMG Certification and examination at the time of graduation.\nCCDS (Certified Clinical Documentation Specialist) certification or CDIP (Certified Documentation Improvement Practitioner) certification\nCCS (Certified Coding Specialist) and\u002For CCA (Certified Coding Associate)\nKnowledge of clinical documentation requirements that identify clinical conditions and procedures as appropriate.\nKnowledge of pathophysiology, disease processes and treatments\nKnowledge of regulatory environment in documentation and coding\n\nJob Summary:\n\nThe Clinical Documentation Integrity (CDI)\u002FCoding Liaison, under supervision of the Director of Clinical Documentation Integrity and in collaboration with CDS, CDI educator, and HIM coders, will strategically facilitate and decrease variance in the clinical documentation and coding practices. CDI\u002FCoding Liaison will review physician documentation for any clinical conditions or procedures to support the appropriate severity of illness, risk of mortality and complexity of care and work closely with both the Clinical Documentation Specialist (CDSs) and HIM coders to finalize the codes as appropriate. The CDI\u002FCoder Liaison will educate members of the CDI\u002FCoding teams regarding coding guidelines and coding clinics while adhering to departmental and organizational goals, objectives, standards of performance, policies and procedures. CDI\u002FCoding Liaison will continually ensure quality documentation and its translation into appropriate codes for regulatory compliance.\nThis facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",,,,,
"Physician Assistant (PA)",https://www.indeed.com/rc/clk?jk=b09f373c63f4ebc6&fccid=a21f87811f0d0d52&vjs=3,"Florida Medical Clinic, LLC.\n\nJob Title: Physician Assistant\n\nDepartment: Internal Medicine - Dale Mabry\n\nReports to: Supervising Physician & Director\u002FAssociate Director of Physician Offices\n\nJob Summary: Responsibilities of PA under general supervision of provider\n\n**New Grads Welcome!**\n\nEssential Functions of the Position:\n\nEvaluate Patients\nObtain and record health histories\nPerform physical and development assessments\nOrder appropriate diagnostic tests and labs\nDiagnose and treat health conditions\nManage the health care of those patients for which they have been educated to provide health teaching and counseling\nInitiate referrals as appropriate consulting with Supervising Physician\nComplete all documentation timely, efficiently and in its entirety\nMaintain health record and document all items required for Meaningful Use\nDaily responsibilities\nAccurately completes all patient notes within 48 hours\nForwards completed documentation to Supervising Provider for signature\nAll outpatient patient charges are entered at the end of each patient encounter\nAddresses and completes all patient tasks daily\nAssists supervising provider with completion of their tasks\nAssist with paperwork and forms as directed by the physician\nReturns patient calls as needed\nDocuments ALF\u002FSNF visits\u002Fservices timely, accurately and in entirety\nSubmits ALF\u002FSNF charges timely and correctly coordinating with the physician(s) as appropriate\nCompletes end of day process\nVerify all messages have been handled for the day\nEnsure tasks, labs, diagnostics have been reviewed and addressed as needed\nCommunicate with supervising physician any items that need to be addressed for the clinic\nLog off their work stations properly\n\nAdditional Responsibilities:\n\nProvides excellent customer service to his\u002Fher team, patients, and public\nMaintains an organized and clean work area\nPerforms other incidental and related duties as required and assigned\nAttends all meetings required by physician or Director\u002FAssociate Director\nAttends yearly Florida Medical Clinic Physician Conference\nParticipates in monthly CTT meetings\nConsults supervising provider as needed for client care\n\nPhysical and Mental Demands:\n\nNormal physical ability\nAbove average concentration and high level complexity of decision making\nHigh level verbal and written communication skills\nAbove average ability to manage multiple tasks simultaneously\nHigh tolerance to stressful situations\n\nOccupational Exposure:\n\nHigh risk exposure to bloodborne pathogens and chemical hazards\n\nJob Qualifications: Required Travel\n\n\nFlorida Licensed PA\nExcellent interpersonal and communication skills\nStrong computer proficiency\nAbility to plan ahead, organize and manage multiple priorities\n\n",,,,,
"Physician Assistant-Certified",https://www.indeed.com/rc/clk?jk=04536a7cf80a5b26&fccid=61d3f73ca3dec6de&vjs=3,"Physician Assistant - Urgent Care clinicJob Types: Full-time, Part-timeSalary: $50.00 to $65.00 \u002FhourExperience:evh: 1 year (Preferred)physician assistant: 1 year (Preferred)oral surgery: 1 year (Preferred)care of adult: 1 year (Preferred)er: 1 year (Preferred)Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceEMR Used:Not listed \u002F OtherRelocation Assistance Provided:NoMedical Specialty:Urgent Care",,,,,
"Physician Assistant",https://www.indeed.com/rc/clk?jk=873cab39c2ad74c8&fccid=c741df049909df5e&vjs=3,"We are currently looking for someone to join our team. We need someone with a minimum of 2 years of experience. We prefer someone who has experience in occupational medicine and\u002For urgent care. DOT certification is also preferred. We are looking for someone with a flexible schedule.Job Types: Full-time, Part-timeExperience:occupational medicine or urgent care: 2 years (Required)Education:Master's (Preferred)Location:Melbourne, FL 32904 (Required)License:state (Required)Work authorization:United States (Required)Work Location:One locationBenefits:NoneTypical start time:9AMTypical end time:5PMRelocation Assistance Provided:NoMedical Specialty:Urgent Care",,,,,
